"","CaseNum","SegmentNum","SegmentNumOverall","TaskType","User","FeatureName","Value"
"1",2,1,1,"Coagulation","Expert","DurationForce",20
"2",2,2,2,"Pulling","Expert","DurationForce",19
"3",2,3,3,"Coagulation","Expert","DurationForce",19
"4",2,5,5,"Coagulation","Expert","DurationForce",31
"5",2,6,6,"Pulling","Expert","DurationForce",18
"6",2,7,7,"Coagulation","Expert","DurationForce",5
"7",2,8,8,"Coagulation","Expert","DurationForce",16
"8",2,9,9,"Coagulation","Expert","DurationForce",24
"9",2,10,10,"Coagulation","Expert","DurationForce",20
"10",2,11,11,"Dissecting","Expert","DurationForce",14
"11",2,12,12,"Coagulation","Expert","DurationForce",3
"12",2,13,13,"Pulling","Expert","DurationForce",10
"13",2,14,14,"Coagulation","Expert","DurationForce",11
"14",2,15,15,"Coagulation","Expert","DurationForce",5
"15",2,16,16,"Coagulation","Expert","DurationForce",5
"16",2,17,17,"Coagulation","Expert","DurationForce",10
"17",2,18,18,"Coagulation","Expert","DurationForce",35
"18",2,19,19,"Coagulation","Expert","DurationForce",38
"19",2,20,20,"Coagulation","Expert","DurationForce",10
"20",2,21,21,"Coagulation","Expert","DurationForce",21
"21",2,22,22,"Coagulation","Expert","DurationForce",24
"22",2,23,23,"Coagulation","Expert","DurationForce",7
"23",2,24,24,"Coagulation","Expert","DurationForce",10
"24",2,25,25,"Coagulation","Expert","DurationForce",4
"25",2,26,26,"Coagulation","Expert","DurationForce",5
"26",2,27,27,"Coagulation","Expert","DurationForce",5
"27",2,28,28,"Coagulation","Expert","DurationForce",6
"28",2,29,29,"Coagulation","Expert","DurationForce",6
"29",2,30,30,"Coagulation","Expert","DurationForce",10
"30",2,31,31,"Coagulation","Expert","DurationForce",8
"31",2,32,32,"Coagulation","Expert","DurationForce",7
"32",2,33,33,"Coagulation","Expert","DurationForce",7
"33",2,34,34,"Coagulation","Novice","DurationForce",9
"34",2,35,35,"Coagulation","Novice","DurationForce",7
"35",3,1,36,"Coagulation","Expert","DurationForce",13
"36",3,2,37,"Coagulation","Novice","DurationForce",9
"37",3,3,38,"Coagulation","Novice","DurationForce",27
"38",3,4,39,"Coagulation","Novice","DurationForce",6
"39",3,5,40,"Coagulation","Novice","DurationForce",9
"40",3,6,41,"Coagulation","Novice","DurationForce",10
"41",3,7,42,"Coagulation","Novice","DurationForce",11
"42",3,8,43,"Coagulation","Novice","DurationForce",10
"43",3,9,44,"Coagulation","Novice","DurationForce",15
"44",3,10,45,"Coagulation","Expert","DurationForce",15
