"","Coagulation.mean","Coagulation.std","Pulling.mean","Pulling.std","Manipulation.mean","Manipulation.std","Dissecting.mean","Dissecting.std","Retracting.mean","Retracting.std"
"DurationForce",15.5077,9.5654,13.6087,5.3745,5.4805,3.2904,16.3939,9.7402,11.8,3.2592
"MeanForce",-0.0115,0.1133,0.0786,0.1387,0.2188,0.156,-0.0815,0.0983,0.0866,0.2109
"MaxForce",0.2239,0.3222,0.5654,0.503,0.5192,0.2716,0.0697,0.0999,0.3146,0.3123
"MinForce",-0.1659,0.152,-0.2112,0.1659,-0.0697,0.0738,-0.2292,0.1837,-0.1754,0.1506
"RangeForce",0.3898,0.3871,0.7766,0.6065,0.5889,0.2818,0.2989,0.2253,0.4899,0.3232
"ForcePeaks",0.0219,0.1312,0.1336,0.1798,0.2596,0.1788,-0.0529,0.0968,0.1264,0.2348
"DForceSD",0.023,0.0207,0.0371,0.0303,0.0302,0.0147,0.0161,0.0099,0.0228,0.0132
"nPeriod",28.0608,18.8758,21.5652,8.5855,9.3961,6.2627,30.4242,19.2452,22.5,7.261
"Frequency",3.8628,2.5175,3.913,2.1724,1.3312,0.8934,2.9394,1.9834,2.5,2.5495
"PeriodLn",6.6769,7.182,4.5906,3.8333,4.7233,2.9945,8.7841,8.3566,8.4357,5.1108
"Trend",0.6493,0.2013,0.825,0.1054,0.9562,0.0816,0.7463,0.168,0.8053,0.1831
"FluctAnal",0.3725,0.2232,0.5348,0.187,0.6402,0.1951,0.4034,0.2513,0.399,0.2961
"Spike",0,0,0,0,0,0,0,0,0,0
"Linearity",-0.3154,4.8471,-0.0738,5.1165,-2.0868,3.3276,0.3743,5.3362,-2.0653,5.0297
"Stability",0.6847,0.1904,0.8494,0.0848,0.9188,0.1135,0.789,0.1054,0.8112,0.1793
"Lumpiness",0.3046,0.4472,0.1421,0.1519,0.1507,0.2577,0.164,0.1859,0.215,0.3999
"Curvature",-0.0931,4.6471,-2.0106,3.8282,-6.1298,2.9459,2.2108,6.152,-0.856,7.0303
"FirstMinAutocorr",18.4015,15.9594,28.5652,16.9057,33,20.2061,27.303,18.5632,32.4,24.5728
"FirstZeroAutocorr",29.0387,36.3019,20.6087,12.752,22.1039,14.9339,36.3636,40.9472,36,23.4473
"AutocorrFuncE1",0.8202,0.1233,0.8811,0.0751,0.6777,0.1315,0.8276,0.1017,0.818,0.0785
"AutocorrFuncE10",1.8182,0.7002,1.9717,0.6041,1.0322,0.4827,1.6242,0.6886,1.622,0.5101
"Entropy",0.6983,0.0778,0.6139,0.0402,0.5867,0.0625,0.652,0.0649,0.6158,0.102
"AutocorrFuncX1",0.9224,0.0787,0.9711,0.0187,0.9517,0.0524,0.952,0.0277,0.9503,0.0347
"AutocorrFuncX10",3.3413,1.6416,4.8436,1.413,4.5591,1.4429,4.2172,1.5842,4.7476,2.1955
"DiffAutocorrFunc1",0.5246,0.167,0.6522,0.081,0.6235,0.1538,0.5287,0.1212,0.5172,0.062
"DiffAutocorrFunc10",0.6468,0.3564,0.7417,0.2514,0.8786,0.4265,0.5461,0.3014,0.4707,0.1497
"DDiffAutocorrFunc1",-0.1258,0.126,-0.1303,0.1174,-0.1869,0.1971,-0.119,0.0877,-0.1279,0.1271
"DDiffAutocorrFunc10",0.1742,0.0987,0.1575,0.0714,0.2471,0.1432,0.1571,0.0721,0.181,0.0808
